aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
abscissa= एखाद्या बिंदूचा क्ष निर्देशक, क्ष-अक्ष, 
abscond= परागंदा होणे, फरारी होणे, 
abseil= उभ्या चढावरून दोरीच्यासहाय्याने ऊतरणे, , 
absence= गैरहजरी, अनुपस्थिती, 
absent= गैरहजर, अनुपस्थित, 
absolute= संपूर्ण, निखालस, 
absolution= क्षमा, मुक्तता, 
absolve= मुक्त करणे, , 
absorb= शोषणे, , 
absorption= तन्मयता, , 
abstain= च्या पासून दूर राहणे, अलिप्त राहणे, वर्ज्य करणे
abstemious= मिताहरी, , 
abstention= मतदान न करणे, अलिप्तता, 
abstinence= मिताहार, , 
abstract= अमूर्त, , 
abstracted= विचारमग्न, , 
abstraction= शून्यमनस्कता, अन्यमनस्कता, 
abstruse= अनाकालीन, समजण्यास कठीण, 
absurd= मूर्खपणाचा, , 
abundance= रेलचेल, विपुलता, 
abuse= दुरुपयोग, , 
abut= लागून असणे, भिडणे, 
abuzz= गजबजलेला, गोंगाटा, गजबज असलेला
abysmal= अगाध, अपरिमित, 
abyss= अत्यंत खोल विवर, तळ दिसत नसलेली गर्ता, 
acacia= ज्या पासून गोंद मिळतो असे काटेरी झाड, , 
academic= शालेय, विद्यालयीन, अभ्यासविषयक
academy= विद्यानिकेतन, , 
accede= काबुल करणे, , 
accelerate= ची गती वाढवणे, , 
accent= ढंग, शब्दोच्चार करण्यची खास लकब, 
accept= स्विकारणे, , 
access= प्रवेश, मार्गस्खलन, 
accessary= मदतनीस, साथीदार, 
accessible= सुकर, सुगम, सहज
acession= अधिकार, पद, स्थिती
accessory= अधिक लागणे, पूरक, 
accidence= काळ, पुरुष, विभक्ती
accident= आकस्मित घडणारी दुदौवी घटना, , 
acclaim= स्वागत करणे, , 
acclamation= जयघोष, जयजयकार, 
acclimatize= जमवून घेणे, नवीन हवामानाशी किवा परस्थितीशी रूळणे, 
acclivity= चढण , घाटी, 
accolade= प्रशंसा, पसंती, 
accommodate= जगाकारणे, राहणायची सोय करणे, 
accopaniment= बरोबर असणारी वस्तू, , 
accompany= गणाऱ्याची साथ करणे, , 
accomplice= गुन्ह्यातील साथ करणे, , 
accomplish= यशस्वीपणे तडीस नेणे, सिदधीस नेणे, पर पाडणे
accomplish= निपुण, सिदधहस्त, कर्तबगार
accomplishment= संपादन, चांगली कृती, निष्पती
accord= देणे, करणे, 
accordance= मेळ, , 
accordant= जुळणारा, सुसंगत, अनुरूप
according= प्रमाणात, , 
accordion= एक वदय, , 
accost= प्रथम बोलणे, हटवणे, हाक मारणे
account= योग्य करण सागणे, समाधानकारकपणे, 
accountable= जबाबदार, , 
accountancy= लेखनिकाचा व्यवसाय, , 
accountant= हिशेब ठेवणारा, लेखपाल, 
accoutrements= शास्त्रे, पोशाख, 
accredit= अधिकृत ओळखपत्र देऊन, , 
accretion= वाढ, वृद्धी, 
accrue= येऊन मिलणे, वाढणे, 
accumulate= गोळा होणे, संचय करणे, 
accumulation= संचय, साठा, 
accumulative= साठत जाणारे, संचित, 
accumulator= एकप्रकारचा विदुयुतघट, , 
accuracy= अचूकपणा, नेमकेपणा, 
accurate= बिनचूक, , 
accursed= शापग्रस्त, , 
accusation= दोषारोप, , 
accusative= कर्म, द्वितीया, 
accuse= आरोप करणे, , 
accustom= परिचित करणे, , 
ace= पात्य्यातील एक्का, , 
acerbic= आंबट, , 
acerbity= खवचट पणा, बोचाकपणा, 
acetic acid= अन्नपदार्थाला चव, वास देणारा व्हिनेगरमधील आम्ल पदार्थ, 
acetylene= अतिशय तप्त आणी प्रमुख ज्योत निर्माण करणारा ज्वलनशील वायू, , 
ache= दुखणे, अखंड वेदना, ठणका
achieve= साध्य, संपादन करणे, 
achievement= संपादन, सफलता, 
Achilles heel= क्षुल्लक वाटणारा परंतु प्राणघातक असा दोष किवा दुर्बलता, असे वर्मास्तन, 
acid= आंबट, आम्ल, 
acidity= आंबटपणा, आम्लता, 
acknowledge= काबुल करणे, पावती देणे, 
acme= कळस, शिखर, 
acne= मुरमे, तरुण्यापीटिका, मुलामुलींचा चेहऱ्यावरउमटणाऱ्या पुतकुल्या
acolyte= सेवक, अनुयायी, 
aconite= बचनाग, , 
acorn= ओक झाडाचे फळ, , 
acoustic= ध्वनिविषयक, श्रावणविषयक, 
acquaint= माहिती, ओळख करून देणे, 
acquaintance= माहिती, अनुभव, 
acquiesce= समंती, होकार देणे, 
acquire= मिळणे, मिळवणे, 
acquisition= लाभ, प्राप्ती, 
acquisitive= हावरा, लोभोस्तुक, लोभी
acquit= मुक्त करणे, निर्दोष ठरवणे, दोषमुक्त
acre= एकर, , 
acreage= एकूण एकर जमीन, , 
acrid= तिखट, , 
acrimonious= जहाल, कठोर, कटु
acrimony= खवचटपणा, जहालपणा, कटुभाषाण
acrobat= डोंबारी, कसरत करणार, 
acronym= दिलेल्या शब्दांच्या आदयाक्षरांनी बनणारे उच्चार करता येण्यासारखे नाव, , 
acrophobia= उंच ठिकाणांची आत्यंतिक, अनाठायी भीती, 
across= ओलांडून, , 
acrostic= ज्या लिखानातील पहिल्या किंवा शेवटच्या अक्षरांच्या जुळनीतून अर्थपूर्ण शब्द, , 
acrylic= रंगांमध्ये व कृत्रिम धाग्याचे कापड तयार करण्यासाठी वापरात येणार रासायनिक पदार्थ, , 
act= कृती, कार्य, कृत्य
acting= बदली, तात्पुरता, हंगामी
actinic= छायाचित्राच्या निगेटिव्हवर रासायनिक प्रक्रिया घडवून आणणारा, , 
action= कृती, क्रिया, 
activate= सक्रिय, क्रियाशील करणे, कार्यान्वित करणे
active= सक्रिय, क्रियाशील, हालचाल
activist= चालवळीत भाग घेणारी व्यक्ती, , 
activity= कार्यक्षमता, कमसुपाणा, सक्रियता
actor= नाटक, चित्रपट, दूरदर्शन
actress= नटी, अभिनेत्री, 
actual= खरा, वास्तविक, 
actuary= विमा उतरणाऱ्या कंपनीकडे असलेले संख्याशास्त्र, , 
actuate= कार्यप्रवण करणे, प्रेरणा देणे, 
acuity= सूक्ष्मता, तीक्ष्णता, 
aculeate= टोकदार, तीक्ष्ण, खंड असलेला
acumen= कुशाग्रबुद्धी, अक्कलहुशार, नैपुण्य प्राप्त पारख करण्याची तीव्र कुवत
acupressure= रुग्णाच्या शरीरातील विशीष्ट बिंदूवर अंगठा व बोटांनी दाब रुग्णाला वेदनामुक्त करण्याची पद्धत, , 
acupuncture= मानवी शरीरातील सुया टोचून रोगमुक्त करण्याची पद्धत, , 
acute= तीक्ष्ण, , 
adage= परंपरागत प्रसिद्ध म्हण, , 
Adam= ईश्वराने निर्माण केलेला पहिला मानव, , 
adamant= निग्रही, दुराग्रही, हटवादी
adapt= अनुकूल बनवणे, जुळेल असा करणे, 
add= मिळविणे, , 
addendum= पुरवणी, परिशिष्ट, 
adder= एकप्रकारचा विषारी साप, , 
addict= व्यसनी व्यक्ति, , 
addition= बेरीज, बेरजेची क्रिया, 
additive= एकूण , समावेशित, वाढीव
addle= गोंधलेली अवस्था व्यक्त करणारा, , 
address= पत्ता, , 
adduce= पुरावा सादर करणे, , 
adenoids= घशाच्या पाठीमागे झालेली थोडीशी मांसल वाढ, , 
adept= प्रवीण, निपुण, वाकबगार
adequacy= पुरतेपणा, जरूर तेवढा पुरवठा, समुचितता
adequate= पुरेसा, पाहिजे तेवढा, समुचित
adhere= चिकटून राहणे, चिटकणे, 
adhesion= सलगी, चिकटून, 
adhesive= चिकटणारा, , 
ad hoc= काही विशिष्ठ कारणापुरता असलेला, , 
adieu= रामराम या अर्थाचा निरोप घेताना वापरण्यात येणारा शब्द, , 
ad infinitum= अनंत काळा पर्यंत, अंतहीन, 
ad interim= तात्पुरता, अंतरिम कालीन, 
adipose= चरबीयुक्त, पुष्ट, 
adjacent= जवळचा, , 
adjective= यामध्ये, , 
adjoin= शेजारी, लागून, 
adjourn= स्थगित, पुढे ढकलणे, 
adjudge= निर्णय देणे, , 
adjudicate= निकाल देणे, , 
adjunct= अनुषंगाने असणारी, , 
adjure= शपथ घालून सांगणे, , 
adjust= नीट करणे, सरळ करणे, जुळवून घेणे
adjutant= वरिष्ठ अधिकार्याचा प्रशासकीय सह्हायक, , 
ad lib= मुक्तपणे, अनिर्बंधपणे, स्वयंस्फुर्तीने
adman= जाहिरात तज्ञ, जाहिरात निर्मिती करणारा, 
admeasure= माप घेणे, , 
administer= व्यवस्था पाहणे, प्रशासन करणे, 
admirable= कौतुकास्पद, प्रशंसनीय, 
admiral= नौदलप्रमुख, , 
admiration= कौतुक, प्रशंसा, 
admire= कौतुक करणे, प्रशंसा करणे, 
admissible= स्वीकारण्याजोगा, मान्य करण्यासारखा, 
admission= आत येऊ देणे, प्रवेश, 
admit= येऊ देणे, प्रवेश देणे, 
admittance= अनुज्ञा, प्रवेश करण्याचा अधिकार, 
admittedly= काबुल केल्या प्रमाणे, , 
admonish= ताकीद देणे, कानपिचक्या देणे, 
ad nauseam= वीट येईपर्यंत, , 
ado= दगदग, त्रास , बाऊ
adobe= ऊन्हात वाळवलेली वीट, , 
adolescence= बालपण आणि तारुण्या यामधील काळ, , 
adolescent= तारुण्यात प्रवेश करणारा किवा करणारी, , 
adopt= दत्तक घेणे, , 
adorable= आदरणीय, , 
adore= अत्यंत प्रेमकारणे, अत्यंत पूज्या मानणे, 
adorn= सुशोभित करणे, , 
adrenal= मूत्रपिंडाजवळील, , 
adrift= हवा तसा वाहत जाणारा, , 
adroit= कुशल, हुशार, चतुर
adulate= अतिशय प्रशंसा, खुशामत करणे, 
adult= प्रौढ, वयात आलेला, 
adulterant= भेसळीसाठी वापरलेले पदार्थ, , 
adulterate= अशुद्ध करणे, भेसळ करणे, 
adultery= व्यभिचार, परशय्यागामन, 
adumbrate= ओझरते सुचवणे, झाक, 
ad valorem= मालाच्या किमती नुसार अकारलेला, , 
advance= पुढे जाणे, आगेकूच करणे, 
advantage= फायदा, लाभ, 
advent= आगमन, , 
adventitious= योगायोगाचा, अचानक घडून येणारा, 
adventure= साहस, धाडस, 
adventurous= साहसी, सहसप्रिय, 
adverb= क्रियाविशेषक, , 
adversarial= वैमनस्यसंबंधी, , 
adversary= प्रतिस्पर्धी, विरोधक, 
adversative= विरोधदर्शक, , 
adverse= विरुद्ध बाजूने, विरुद्ध अर्थाने, 
adversity= प्रतिकूल दैव, दुर्भाग्य, 
advert= उल्लेख करणे, , 
advertence= अवधान, लक्ष, 
advertise= जाहिरात देणे, जाहिरात केणे, 
advertisement= वृत्तपत्रे, रेडिओ, दूरदर्शन
advice= सल्ला , उपदेश, 
advisable= शहाणपणाचा, इष्ट, 
advise= सल्ला देणे, , 
advocacy= एखादया गोष्टीसाठी केलेली वकिली, , 
advocate= पुरस्कार करणे, समर्थन करणे, 
adz(e)= तासणी, , 
aegis= संरक्षण, आश्रय, कृपा छत्र
aeon= युग, फार प्रदीर्घ काळ, 
aerate= वायुमिश्रित करणे, हवा भरणे, 
aerial= रेडिओची तार, , 
aerie= उंचावर बांधलेले घरटे, , 
aeriform= वायुरूप, , 
aero= विमानासंबंधी, , 
aerobatics= वैमानिकांनी केलेल्या विमानाच्या कसरती, , 
aerobics= रक्तातील प्रणवुयूचे प्रमाण वाढवण्यासाठी करायचे व्यायाम, , 
aerodrome= लहान विमाने उतरण्यासाठी असलेले विमानतळ, , 
aerogram= बिनतारी संदेश, , 
aerolite= उल्का, , 
aerology= वातावरणशास्त्रा, , 
aeronaut= वैमानिक, , 
aeronautics= विमानविद्या, अवकाशगमनशास्त्रा, 
aeroplane= विमान, , 
aerosol= द्रवपदार्थाचा फवारा मारणारे पात्र, , 
aerospace= पृथ्वी सभोवतालचे वातावरण, , 
aerostat= हवेपेक्षा हलके विमान किवा गरम हवेवर उएडणारा फुगा, , 
aesthete= सौदर्याचा व कलेचा उएपासक, , 
aesthetic= सौंदर्याशास्त्राविषयक, , 
aether= ढगाच्या वरच्या बाजूचे शुद्ध वातावरण, , 
aetiology= व्याधींचा कारणाचा अभ्यास, व्याधींची कारणे, 
afar= फार दूर अंतरावर, अंतरावरून, 
affability= सौजन्य, प्रेमळपणा, 
affable= मनमिळाऊ, बोलण्या-चालण्यात मोकळा, 
affair= काम, , 
affect= परिणाम करणे, , 
affectation= ढोंग, बतावणी, बहाणा
affection= प्रेम, ममता, वात्सल्य
affectionate= प्रेमळ, ममताळू, 
affiant= लेखी जबानी, , 
affidavit= न्यायाधिकाऱ्या समक्ष शपथेवर दिलेली लेखी जबानी, , 
affiliate= जोडीणे, संलग्न, सदस्य किंवा शाखा म्हणून स्वीकारणे
affinity= विवाहाजन्य संबंध, , 
affirm= खात्रीपूर्वक सांगणे, , 
affirmation= खात्रीपूर्वक सत्य विधान, , 
affirmative= मान्यातादर्शक, होकारार्थी, 
affix= जोडणे, चिटकणे, 
afflatus= ईश्वरी प्रेरणा, , 
afflict= ला शारीरिक दु:ख देणे, ला मानसिक दु:ख देणे, 
affluence= समृद्धी, अफाट संपत्ती, 
afflux= एकाद्या ठिकाणच्या दिशेने वाहत जाणारी क्रिया, , 
afford= क्रियापदापूर्वी सामान्यतः, , 
afforest= झाडे लावून जंगलाचे परिवर्तन करणे, , 
affranchise= गुलामगिरीतून मुक्त करणे, , 
affray= मारामारी, सार्वजनिक ठिकाणची दंगल, 
affront= जाणूनबुजून तोंडावर अपमान करणे, , 
aficionado= कट्टर अनुयायी, चाहता, 
afield= दूरवर, , 
afire= पेटलेला, , 
aflame= पेटलेला, , 
afloat= तरंगणारा, तरंगता, 
afoot= चालू, , 
afore= आगाऊ, , 
afoul= गोंधळलेल्या अवस्थेत , अडचणीत असलेला, 
afraid= भयभीत, घाबरणारा, 
afresh= पुन्हा, नव्याने, 
aft= जहाजाच्या मागील भागाकडे, , 
after= नंतर, मागे, 
aftercare= दक्षता, उपचारा नंतर घेतली जाणारी काळजी, 
aftereffect= मागाहून घडून येणारा परिणाम, , 
afterglow= सूर्यास्तानंतर पशिमेला दिसणारा तेजस्वी प्रकाश, , 
afterlife= मृत्यनंतरचे जीवन, , 
aftermath= परिपाक, परिणाम, 
afternoon= तिसरा व चौथा प्रहर, , 
afters= भोजनाच्या शेवटी दिला जाणारा गोड पदार्थ, , 
afterthought= सुचलेला विचार, पश्चातबुद्धी, 
afterwards= नंतर, , 
again= पुन्हा, परत एकदा, 
against= च्या विरुद्ध, , 
agape= तोंड वासून, आ करून, 
agate= गोमोद, , 
age= वय, आयुष्य, 
aged= म्हातारा, वयस्कर, 
ageless= शाश्वत, चिरतरुण, 
agency= विशिष्ठ सेवा पुरवणारी संस्था, , 
agenda= सभेचा कार्यक्रमपत्रिकेवरील विषय, , 
agent= साधन, कारण, 
agglomerate= रास करणे, गोळा करणे, 
agglutinate= सरसाने चिकटणे, , 
aggrandize= वाढ करणे, बडती करणे, 
affravate= अधिक गंभीर करणे, , 
aggregate= एकूण, , 
aggression= आक्रमक, , 
aggrieve= पीडा देणे, गांजणे, 
aggrieved= दुखावलेला, , 
aghast= विस्मित, भावचाकित, 
agile= चपळ, सहजतेने हालचाल करु शाकणारा, 
agitate= खळबळ उडवणे, क्षोभित करणे, 
agitation= मनाची व्यग्रता, व्याकुळता, खळबळ
agitator= आंदोलन करणारा, आंदोलक, 
agleam= चकाकणारा, तेजस्वी, 
aglet= लेसच्या टोकाला असलेला धातूचे किवा प्लास्टिकचे टोपण, , 
aglow= सतेज, चमकदार, 
agnail= नखुरडे, , 
agnosia= परिचित व्यक्ती किवा वस्तू ओळखण्याची क्षमता कमी किवा नष्ट होणे, , 
agnostic= अज्ञेयवादी, ईश्वराच्या अस्तिसत्वाचे ज्ञान आपणाला होणे शक्य नाही असे मानणारी वक्ती, 
ago= पूर्वी, मागे, 
agog= आतुर, उत्कंठित, 
agonize= अतिशय वेदना होणे, चिंताक्रांत असणे, 
agony= वेदना, यातना, तीव्र दु:ख
agora= एकत्र जाण्याचे ठिकाण, मंडई, 
agrarian= शेतजमीनविषयक, , 
agree= काबुल करणे, , 
agreeable= सुखकारक, आनंद होणे, 
agreed= सहमतीने ठरलेला, , 
agreement= संमती, , 
agricultural= शेतीविषयक, , 
agriculture= शेती, , 
agro= शेतीविषयक, , 
agrology= माती व तिची उत्पादक क्षमता अभ्यासायचे शास्त्रा, मृदशास्त्रा, 
agronomy= शेत जमीन व्यवस्थापन व पीक उत्पादन याविषयीचे शास्त्रा, शेतीकाम, कृषीतज्ञ
aground= तळात, जमिनीवर, 
ague= तप , हिवताप, 
ah= अहा !, हाय !, असं  !
aha= विजय, आश्चर्य, समाधान
ahead= पुढे , , 
ahem= अखाद्याचे लक्ष वेधण्यासाठी घसा खाकऱ्याची पद्धत, , 
ahoy= दर्यावर्दीने दिलेली आरोळी, , 
aid= मदत करणे, आधार देणे, 
aide= मदतनीस, सह्हायक, 
aide-de-camp= सेनाधिकाऱ्याचा मदतनीस अधिकारी, , 
AIDS= एड्स नावाचा रोग, , 
aigrette= शिरोभूषण म्हणून वापरतात तो पिसांचा झुबका, , 
ail= दुखावणे, दुःखाचे करण असणे, 
aim= हेतू, प्रयोजन, 
air= वातावरण, , 
air base= जेथून लष्करी विमानांच्या हालचाली सुरु होतात असा विमानतळ, , 
airborne= उडणारे, उडते, 
air brake= कोंडलेल्या हवेच्या दबावावर चालणारा ब्रेक, , 
airbrust= आण्विक बॉम्ब, इ.चा हवेत झालेला स्फोट, 
airbus= छोट्या अंतरावर येण्या जाण्या साठी वापरले जाणारे विमान, , 
air-condition= वातानुकुलीत बनवणे, , 
air corridor= विमान वाहतुकीसाठी मान्यता दिलेला विशिष्ट हवाई मार्ग, , 
air cover= जमिनीवरून हालचाली करणाऱ्या आपल्या सैन्याचे शत्रूच्या विमानहल्यापासून रक्षण केलेला आपल्या लष्करी विमानाचा वापर, विमानांचे संरक्षकछत्र, 
aircraft= विमान, कोणत्याही प्रकारचे वायुवाहक, 
air cushion= हवा भरता येण्यासारखी उशी, , 
air-dash= एखाद्या ठिकाणी त्वरेने विमानप्रवास करणे, , 
airdrop= हवाई छत्रीच्या मदतीने खाली सोडण्याची कृती, , 
air-dry= हवेत उघड्यावर ठेवून वळवणे, , 
airfield= हवाई अड्डा, , 
air force= हवाई दल, , 
air gun= हवेच्या दाबाने गोळ्या उडवणारी बंदूक, , 
air hole= हवा जाण्यायेण्याकरता केलेले छिद्र, , 
air hostess= हवाई सुंदरी, , 
airily= उथळपणे, गांभीर्य सोडून, 
airing= वाळवणे, , 
airless= हवाविरहित, , 
airlift= माणसे व अन्नधान्य इ.ची विमानाने ने-आण , , 
airline= विमान वाहतूक, , 
airliner= प्रवासीवाहतूक करणारे मोठे विमान, , 
airmail= हवाई टपाल, , 
airman= वौमानिक, , 
air marshal= हवाईदल प्रमुख, , 
air-minded= विमाने व विमानवाहतूक याबाबत आवड असणारा, , 
airplane= विमान, , 
air pocket= हवेतील निमपोकाली, , 
airport= हवाईकेंद, , 
air pump= हवा आत भरण्याचे किवा बाहेर काढण्याचे साधन, , 
air raid= हवाई हल्ला, शत्रूच्या विमानदालाचा हल्ला, 
airship= यंत्रचालीत हवाई जहाज, , 
airsick= विमानप्रवासात ज्याला मळमळते असा, , 
airspace= एखाद्या देशाच्या मालकीचे वातावरण क्षेत्र, , 
airspeed= हवेच्या सापेक्षतेने असलेला विमानाचा वेग, , 
airstrip= विमानाची धावपट्टी, , 
air terminal= जेथून विमानप्रवाशांना विमानाकडे नेले जाते ती विमानप्रवाशांन साठी असलेली इमारत, , 
airtight= हवाबंद, , 
air-to-air= एखाद्या ऊड्डाण करणाऱ्या विमानातून दुसऱ्या उड्डाण करणाऱ्या विमानाशी संबंधित असलेला, , 
air-umbrella= युद्धकाळात जमिनीवर लढणाऱ्या पायदळाला दिलेलेविमानदलाचे संरक्षण, , 
airway= विमानमार्ग, , 
airworthy= ऊड्डाण करण्यास योग्य, , 
airy= हवेशीर, , 
aisle= खुर्चाच्या रंगामधील मार्ग, मार्गिक, 
ajar= अर्धवट उघडा, , 
akimbo= कोपर वर करून कमरेवर हात ठेऊन, , 
akin= सारखा, समधर्मी, 
alabaster= एक पांढरा दगड, , 
alacrity= उत्साहपूर्वक दाखवलेली तत्परता, , 
a la mode= अद्यावत, नवीनतम , 
alarm= धोक्याची सूचना देणे, , 
alarmist= उगाचच दुसऱ्याना घाबरवून सोडणारी, धडकावनारी व्यक्ति, 
alas= दु:ख व्यक्त करणारा उद्गार, , 
albastross= एक मोठा समुद्रपक्षी, , 
albeit= जरी, , 
albino= पांढऱ्या कातडीचा/ची केसांची/चा व्यक्ति, , 
album= चित्रे चिटकून ठेवण्याचे कोरे पुस्तक, , 
albumen= अंड्यातील पांधरा बलक, , 
alchemist= किमयागार, , 
alcohol= बिअर, मादक पेयांतील मद्यार्क, 
alcoholism= खूप दारू पिण्याचे व्यसन, , 
alcove= भिंत आत घेऊन खोलीतील वेगळा पडलेला खण, , 
ale= बिअरचा एक प्रकार, , 
alembic= अर्क काढणारे , , 
alert= सावध, , 
alfalfa= जनावरांना चारा म्हणून दिली जाणारी एक प्रकारचे पौष्टीक हिरवी वनस्पती, , 
alfresco= मोकळ्या हवेतला, , 
algae= शेवाळ, , 
algebra= बीजगणित, , 
algorithm= समस्या सोडवण्या साठी वापरली जाणारी पद्धती, , 
ailas= धारण केलेले, , 
alibi= गुन्हा घडला त्यावेळी स्वत अन्य टिकाणी असल्याचे प्रतिपादन, , 
alien= परदेशी, , 
alienate= मैत्री तोडणे, , 
alienation= फारकत, , 
aliencee= ज्या वाक्तीकडे मालमत्ता हस्तांतरित केली आहे अशी व्यक्ती, , 
alight= बाहेर उतरणे, , 
align= सरळ रांगेतमांडणी करणे किंवा असणे , , 
alike= परस्परात समान, , 
alimentary= अन्ननलिका, , 
alimony= घटस्फोटीत पतीला किवा पत्नीला मिळणारी पोटगी, , 
alive= सजीव, , 
alkali= अल्कधर्मी पदार्थ, , 
alkaloid= वनस्पतीन मधे आढळणारा अल्कलीसारखा पदार्थ, , 
all= सर्व, , 
allay= शमवणे, , 
allegation= पुराव्यावाचून केलेला दोषारोप, , 
allege= आरोप करणे, , 
allegiance= निष्ठा, , 
allegoric(al)= द्रष्टातात्मक, , 
allegory= द्रूष्ठातरूप कथन, अन्योत्री, 
allegro= द्रुतगतीने, , 
allergic= रोगप्रवणता असलेला, , 
allergy= रोगप्रवणता, असोशी, 
alleviate= कमी करणे, , 
alley= गल्ली, , 
alliance= एकत्रीकरण, , 
allied= कराराने एकत्र आलेला, , 
alligator= मगर, , 
alliteration= अनुप्रास, , 
allocate= नेमून देणे, , 
allopathy= विषमचिकित्सा, , 
allot= नेमून देणे, , 
allow= मन्य करणे, , 
allowance= नेमून दिलेले पैसे, , 
alloy= मिश्रधातू, , 
all-party= सर्व राजकीय पक्षांचा अंतर्भाव असलेला, , 
all-purpose= अनेक बाबींसाठी उपयुक्त, , 
all-round= अष्टपैलू, , 
all-star= उत्कृष्ट कलावंतांचा समावेश असलेला, , 
al-time= अपूर्व, , 
allude= निर्देश करणे, , 
allure= मोह पडणे, , 
allusion= अप्रत्यक्ष उल्लेख, , 
alluvial= पुराच्या गाळणे बनलेला, , 
ally= मित्र आणि मित्रराष्ट्र, , 
alma mater= आपण जेथे शिक्षण घेतले ते विद्यालय,महाविद्यालय, , 
almanac= पंचांग, , 
almighty= सर्वशक्तिमान, , 
almirah= कपात, , 
almond= बदाम, , 
almost= बहुधा, बहुतेक, 
aims= भिक्षा, धर्मदान, 
aloe= कोरफड, , 
aloft= उंच, , 
alone= एकटा, , 
along= बाजूने, , 
aloof= दूर, , 
aloud= एकू येईल इतक्या मोठ्याने, , 
alp= पर्वतावरील कुरणाची जमीन, , 
alpaca= लामा नावाचा मेंढीच्या जातीचा प्राणी, , 
alpha= ग्रीक वर्णमालेतील पहिले अक्षर, , 
alphabet= मुळाक्षरे, , 
Aips= ल्प्स, , 
already= आधीच, , 
Aisation= लांडग्यासारखा दिसणारा एक कुत्रा, , 
also= सुद्धा, , 
altar= वेदी, , 
alter= बदलणे, , 
alteration= बदल, , 
alterative= फेरफार करू शकणारा, , 
altercate= वितंडवाद, , 
altercation= भांडण, , 
alter ego= जिवलग दोस्त, , 
alternate= एक सोडून एक, , 
alternation= एकामागून एक घडून येणाऱ्या क्रिया, , 
alternative= वैकल्पित, , 
alternator= प्रत्यावर्ती विद्युतधारा निर्माण करणारे जनित्र, , 
although= जरी, , 
altimeter= समुद्रसपाटीपासून किती उंचावर आहे हे दर्शवणारे यंत्र, , 
altitude= समुद्रसपाटीपासूनची उंची, , 
alto= पुरुषाचा उच्चतम स्वर, , 
altogether= पूर्णपणे, , 
altruism= नि;स्वार्थीपणा, , 
alum= तुरटी, , 
aluminium= चंदेरी धातू, , 
alumna= एखाद्या शिक्षण संस्थेची माजी विद्यार्थिनी, , 
alumnus= एखाद्या शिक्षण संस्थेची माजी विद्यार्थी, , 
always= नेहमी, , 
